qid,answer,prompt_tokens,completion_tokens,total_tokens
summary,,1608876,103333,1712209
ins_a_001,A,17737,1200,18937
ins_a_002,A,15199,1200,16399
ins_a_003,A,15755,1200,16955
ins_a_004,A,16872,868,17740
ins_a_005,ABCD,15905,402,16307
ins_a_006,A,16394,1200,17594
ins_a_007,C,14920,3000,17920
ins_a_008,AC,14636,3000,17636
ins_a_009,C,15296,694,15990
ins_a_010,ABC,15140,1414,16554
ins_a_011,ACD,15869,895,16764
ins_a_012,A,14804,1871,16675
ins_a_013,A,14163,666,14829
ins_a_014,AD,15493,3000,18493
ins_a_015,AB,15091,972,16063
ins_a_016,CD,11588,2660,14248
ins_a_017,ABC,16476,657,17133
ins_a_018,BCD,14115,1361,15476
ins_a_019,ACD,12469,3000,15469
ins_a_020,A,14841,1200,16041
fin_a_001,AB,20553,2308,22861
fin_a_002,ABD,19532,1254,20786
fin_a_003,A,19563,747,20310
fin_a_004,ABD,20573,2080,22653
fin_a_005,AD,19761,1978,21739
fin_a_006,A,20784,717,21501
fin_a_007,ABD,19932,775,20707
fin_a_008,C,19436,1200,20636
fin_a_009,ABC,19968,692,20660
fin_a_010,A,19206,569,19775
fin_a_011,ACD,19982,1285,21267
fin_a_012,AD,19519,1302,20821
fin_a_013,A,16854,485,17339
fin_a_014,BCD,19346,3000,22346
fin_a_015,B,20216,1200,21416
fin_a_016,AD,19800,855,20655
fin_a_017,AC,20405,525,20930
fin_a_018,A,19253,880,20133
fin_a_019,A,20549,3000,23549
fin_a_020,AB,20015,912,20927
fc_a_001,ABD,14296,378,14674
fc_a_002,A,13665,638,14303
fc_a_003,A,14076,141,14217
fc_a_004,AD,14922,501,15423
fc_a_005,AB,14211,521,14732
fc_a_006,A,14488,674,15162
fc_a_007,BD,13936,366,14302
fc_a_008,B,15729,681,16410
fc_a_009,D,16283,3000,19283
fc_a_010,A,15054,434,15488
fc_a_011,AB,15354,383,15737
fc_a_012,CD,16500,1118,17618
fc_a_013,B,14248,493,14741
fc_a_014,AB,14957,2823,17780
fc_a_015,A,14753,1200,15953
fc_a_016,BC,15293,649,15942
fc_a_017,ABD,15356,822,16178
fc_a_018,A,14844,509,15353
fc_a_019,AB,15854,525,16379
fc_a_020,AB,14945,2106,17051
reg_a_001,CD,13592,874,14466
reg_a_002,AC,13337,1512,14849
reg_a_003,A,13362,434,13796
reg_a_004,ABC,13198,465,13663
reg_a_005,ABCD,13348,3000,16348
reg_a_006,A,13429,246,13675
reg_a_007,AC,13518,645,14163
reg_a_008,A,13382,766,14148
reg_a_009,BD,13460,587,14047
reg_a_010,B,14132,471,14603
reg_a_011,A,13745,3000,16745
reg_a_012,ABC,13617,711,14328
reg_a_013,A,13766,204,13970
reg_a_014,ABD,13788,332,14120
reg_a_015,C,13384,425,13809
reg_a_016,BD,15002,2091,17093
reg_a_017,AB,14192,1168,15360
reg_a_018,A,13976,412,14388
reg_a_019,ABD,15502,1465,16967
reg_a_020,ABD,14368,321,14689
res_a_001,ABC,16130,293,16423
res_a_002,AC,16740,2430,19170
res_a_003,A,15180,677,15857
res_a_004,A,15168,578,15746
res_a_005,ABC,17869,251,18120
res_a_006,A,16044,152,16196
res_a_007,ABC,14936,205,15141
res_a_008,A,15558,458,16016
res_a_009,AC,15588,314,15902
res_a_010,A,16944,199,17143
res_a_011,C,16828,305,17133
res_a_012,AB,15088,395,15483
res_a_013,B,16797,397,17194
res_a_014,ABC,17352,296,17648
res_a_015,A,16950,552,17502
res_a_016,CD,18514,718,19232
res_a_017,ABD,16669,514,17183
res_a_018,A,19758,461,20219
res_a_019,AB,19649,272,19921
res_a_020,AB,18242,551,18793
